Título,Data,Link,
"Conferência Livre Nacional de Segurança Alimentar e Nutricional na Assistência Social: 
Promover o Direito Humano à Alimentação Adequada (DHAA) com Comida de Verdade, Democracia e Equidade.",22/09/2023,Presencial em Itajaí,
Conferência Livre Nacional “Segurança Alimentar e Nutricional na Saúde (Conferência SAN na Saúde)”,29/09/2023,https://bit.ly/SANnaSAÚDE,
"Prevenção, gestão e mitigação de conflitos de interesse em políticas de segurança alimentar e nutricional.",02/10/2023,https://bit.ly/conferencialivredecoi,
"Conferência livre nacional sobre alimentação nas cidades - ""Alimento na Cidade, Comida de Verdade""",04/10/2023,bit.ly/conferencia-livre-alimentacao-cidades,
ERRADICAR A FOME ATRAVÉS DA SUPERAÇÃO DO RACISMO E DA DISCRIMINAÇÃO NO BRASIL.,07/10/2023,https://www.sympla.com.br/evento-online/conferencia-livre-pela-erradicacao-da-fome-racismo-e-discriminacao/2173691?lang=PT,13h
"Iª Conferência Livre de Segurança e Soberania alimentar e Nutricional dos Povos das Águas: 
Territórios Ancestrais Sustentáveis Fonte de Soberania e Segurança Alimentar e Nutricional",10/10/2023,https://forms.gle/xv5PofbqnwQbHFPz9,8h30-17h30
Tradição de matriz africana alimenta não violenta. ,12/10/2023,https://docs.google.com/forms/d/e/1FAIpQLSd673413x2hdgpwpeHNugXl51sO3ivaT-hVjY-P5anFw9H6iA/viewform?fbclid=PAAaYJr77ffYVEs5VGKAk97LzA52PGVI4TDbPKpugOglqG0vN1U4pE7nDG9Cc,
"Fome, até quando?",14/10/2023,,8 - 17h
"1ª CONFERÊNCIA LIVRE DE SEGURANÇA ALIMENTAR E NUTRICIONAL PARA SAÚDE DA POPULAÇÃO NEGRA / 
Caminhos para Garantir a Segurança Alimentar e Nutricional à População Negra Brasileira",14/10/2023,,
Segurança Alimentar e Nutricional e Mudanças Climáticas,20/10/2023,https://www.sympla.com.br/evento-online/conferencia-livre-de-seguranca-alimentar-e-nutricional-e-mudancas-climaticas/2169065,14h às 18h30
Da Roça à Periferia - Alimentação e Dignidade para o Povo que Passa Fome,21/10/2023,A confirmar,
Conferência livre nacional sobre Segurança Alimentar e Nutricional com as Juventudes,21/10/2023,A confirmar,
LGBTQIA+ FOME - Por Politicas Sociais por INTEIRO - Segurança Alimentar e Combate a Fome ,22/10/2023,https://www.even3.com.br/checkout/ed3e7280-8307-4690-a038-3fcfe2c7299e?i=39981279&lang=pt,14h as 18h
Pontos Populares de Alimentação,23/10/2023,A confirmar,
Conferência Nacional Livre de Pesquisa em Soberania e Segurança Alimentar e Nutricional (CNLSSAN-Pesquisa),24/10/2023,https://www.even3.com.br/cnlssan-pesquisa/,
"Terra, água e biodiversidade para um Semiárido Vivo, com participação popular e segurança e soberania alimentar. ",24/10/2023,A confirmar,8h30-17h
"O Direito Humano à Alimentação Adequada: o Papel do Sistema de Justiça na Erradicação da Fome e na Garantia de Direitos com Comida de Verdade, Democracia e Equidade.",26/10/2023,https://docs.google.com/forms/d/e/1FAIpQLSeesiDHXZn_CtR0IYfM4RKDTrhqkk1E2qYxLwnfd3if0uBeXQ/viewform,14h às 18h
""O aprofundamento da Participação Social na construção e monitoramento da Política Nacional de Agroecologia e Produção Orgânica e da implementação do Planapo III: o combate à insegurança alimentar com comida de verdade,26/10/2023,,(A confirmar)
Educação Ambiental  no contexto da Segurança Alimentar e Nutricional ,27/10/2023,,(A confirmar)
"Conferência Livre pela Agricultura Urbana: a cidade planta, a cidade alimenta!",27/10/2023,,14h
Conferência Livre de Cultura Alimentar,28/10/2023,,
"Segurança Alimentar e Nutricional e a Economia Solidária, a Organização Social para a Erradicação da Fome",28/10/2023,,
Articulação entre SUAS e SISAN ,30/10/2023,A confirmar,(A confirmar)
