id_proposta;votos;tema;titulo;proposta;Tópico 1;Tópico 2;Tópico 3;Tópico 4;Tópico 5;topicos corretos?;;;;;;;;
11634;11;III - Direito à Profissionalização, ao Trabalho e à Renda;Reformulação e Adaptação das Grades Curriculares de Cursos da Educação Profissional que atendam as demandas do Mercado de Trabalho Municipal e Estadu;Considerando que as grades Curriculares dos Cursos da Educação Profissional não atendem as demandas do Mercado de Trabalho dos Municípios aonde estão instaladas as Escolas de Educação Profissional, tornando os Cursos Menos atrativos e fazendo os nossos jovens evadir do município em busca de melhores oportunidades de educação profissional para conseguir vagas de estágio, jovem aprendiz, primeiro emprego e fomentar o empreendedorismo juvenil.;Educação profissional (41%);Profissional da educação (40%);Estágio profissional (31%);Profissional de saúde (30%);Profissional de informação (27%);;;;;;;;;
11636;11;II - Direito à Educação;Educaçāo antirracista no ensino público;Estudo e aplicação de disciplinas obrigatórias com temas antirracistas no ensino fundamental, médio e superior;Ensino superior (34%);Ensino médio (33%);Ensino fundamental (33%);Direito, estudo e ensino (32%);Negros no ensino superior (28%);;;;;;;;;
11637;11;II - Direito à Educação;Saúde mental nas escolas;Prover atendimento e acompanhamento psicológico nas escolas públicas e/ou nos equipamentos de saúde pública aos/às jovens.;Saúde pública (29%);Jovens (25%);Educação e saúde pública (24%);Dano psicológico (24%);Teste psicológico (23%);;;;;;;;;
11638;10;V - Direito à Saúde;Aproximar o jovem do cuidado mental;Produção de cartilhas informativas, que podem ser apresentadas nas escolas da rede de ensino, contendo espaços de cuidado mental dentro da cidade. A partir do estudo de território e levantamento de informações pertinentes para que o jovem se aproximem da rede de cuidado, como CAPS, RAPS e outros espaços, próprios à cada realidade, como clínicas-escolas de universidades.;Rede de escolas (37%);Cuidado da criança (24%);Rede de informação (23%);Centro de atendimento de rede (23%);Centro de controle de rede (22%);;;;;;;;;
11639;11;I - Direito à Cidadania, à Participação Social e Política e à Representação Juvenil;Resgatar a juventude;Atenção especializada e assistência integral aos jovens que estão na rua. Assistência básica imediata, e resgate de jovens com oportunidades: seja o estudo ou o mercado de trabalho.;Assistência (39%);Jovens (37%);Programa de assistência (32%);Assistência à saúde (31%);Assistência à educação (31%);;;;;;;;;
11640;14;IV - Direito à Diversidade e à Igualdade;Proteger jovens lgbt+;Aproximar o conselho tutelar de famílias que tenham dificuldade para entender e lidar com a experiência queer, seja pela orientação sexual ou de gênero, afim de evitar que a juventude seja expulsa de casa. Pode ser criado um canal direto e especializado, em que os jovens possam entrar em contato com o conselho tutelar.;Conselho tutelar (47%);Princípio tutelar (33%);Conselho (27%);Conselho de saúde (26%);Conselho de segurança (25%);;;;;;;;;
11643;87;II - Direito à Educação;Criação de um Plano Nacional de Assistência Estudantil;"O objetivo da proposta é criar um Plano Nacional de Assistência Estudantil no Brasil, que visa garantir a permanência e o acesso igualitário à educação de qualidade para a juventude, especialmente aqueles em situação de vulnerabilidade socioeconômica.
Componentes do Plano:
- Bolsas
- Refeitório e Alimentação Saudável
- Moradia Estudantil 
- Apoio Psicossocial 
- Acesso à Tecnologia e Material Didático 
-  Transporte Público e Mobilidade 
-  Programas de Capacitação e Empregabilidade";Bolsa estudantil (25%);Financiamento estudantil (25%);Plano de saúde (25%);Plano de trabalho (24%);Movimento estudantil (24%);;;;;;;;;
11644;19;XII - Sistema Nacional de Juventude - SINAJUVE;Programas de incentivo a criação de orgãos públicos de Juventude;Criação de programas para que orgãos públicos municipais e federais possam inscrever-se mediante a criação de orgãos públicos de Juventude, com estrutura e dotação orçamentária, a fim de incentivar a construção de novas políticas públicas e   garantindo os direitos das Juventudes.;Doação de orgãos (39%);Dotação orçamentária (29%);Criação de trabalho (25%);Criação de emprego (22%);Estrutura (construção) (22%);;;;;;;;;
11645;48;IV - Direito à Diversidade e à Igualdade;A Juventude de Candomblé e a luta por direitos.;A luta contra a intolerância religiosa é essencial para a juventude nos terreiros de candomblé. Uma política nacional que proteja nosso direito de viver e frequentar esses espaços sagrados é fundamental. Além disso, uma agenda nacional deve ser estabelecida para discutir as questões sociais que afetam nossa juventude, garantindo medidas eficazes de melhoria. A preservação dos terreiros é crucial para manter viva a tradição. A juventude de candomblé merece respeito, igualdade e liberdade.;Juventude (34%);Candomblé (31%);Direitos da juventude (25%);Juventude e consumo (24%);Serviço social junto à juventude (19%);;;;;;;;;
11646;10;I - Direito à Cidadania, à Participação Social e Política e à Representação Juvenil;A Valorização da identidade regional da juventude;As juventudes merecem um espaço de pertencimento dentro da sua região, com o projeto história e memória que irá trabalhar a valorização da história local, cultura, raizes e identidade dos jovens.;História (41%);História social (34%);História política (33%);Filosofia da história (32%);História da ciência da informação (31%);;;;;;;;;
11647;9;II - Direito à Educação;Plano Nacional De Assistência Estudantil;"O Plano Nacional de Assistência Estudantil visa promover a inclusão e igualdade de oportunidades no âmbito educacional. Algumas propostas para sua implementação são:

Bolsas e Auxílios Financeiros: Oferecer bolsas e auxílios financeiros para estudantes de baixa renda, garantindo acesso a materiais didáticos, moradia e alimentação.

Apoio à Saúde Mental: Estabelecer serviços de apoio psicológico e emocional nas instituições de ensino, visando o bem-estar mental dos estudantes.

Inclusão Digital:";Bolsas de apoio técnico (31%);Saúde mental (25%);Inclusão digital (23%);Bolsas de estudo (23%);Recursos financeiros (22%);;;;;;;;;
